step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.265561062235562,0,0.0,0.8968388288400505,0,0.0
10.0,0,0.0,0.0,11.945704099123839,0,0.0,0.8835431597560294,0,0.0
15.0,4,5.0,0.4166666666666667,5.128896856454504,4,5.0,0.0896376943918241,4,5.0
20.0,6,30.0,2.5,4.822783693600965,6,30.0,1.719482464423153e-05,6,30.0
25.0,6,60.0,3.5294117647058822,8.835221129432421,6,60.0,0.5714285714285714,6,60.0
30.0,6,90.0,4.5,9.2273026672888,6,90.0,0.6281180856749984,6,90.0
35.0,4,79.0,4.157894736842105,5.86178209595232,4,79.0,0.44581142981786964,4,79.0
40.0,9,65.0,3.611111111111111,3.377013620801763,9,66.0,0.10109997575016023,9,66.0
45.0,10,115.0,6.388888888888889,5.664668340464237,10,115.0,0.0,10,115.0
50.0,8,92.0,3.2857142857142856,8.091899851461951,8,92.0,0.5264321934315523,8,92.0
55.0,6,98.0,4.454545454545454,8.496558363106898,6,98.0,0.6092474058738084,6,98.0
60.0,6,128.0,5.818181818181818,5.650102637646154,6,128.0,0.27233219897589034,6,128.0
65.0,13,178.0,8.9,2.9985465263748616,13,178.0,0.09845935700035868,13,178.0
70.0,13,241.0,13.38888888888889,3.0686510140829952,13,241.0,2.7016723113309056e-06,13,241.0
75.0,13,306.0,10.551724137931034,6.450463996044459,13,306.0,0.3993995852705487,13,306.0
80.0,11,289.0,11.115384615384615,6.031202011925344,11,289.0,0.46508289414639115,11,289.0
85.0,10,298.0,11.92,3.708806003431537,10,298.0,0.2025633093361554,10,298.0
90.0,18,374.0,14.96,3.029120570879388,18,374.0,0.0011885770479183435,18,374.0
95.0,17,353.0,14.708333333333334,2.653350645966306,17,353.0,1.1631785079081155e-06,17,353.0
100.0,7,108.0,3.4838709677419355,6.949056405060053,7,262.0,0.45796969230922985,7,262.0
105.0,7,143.0,4.612903225806452,8.694582176868796,7,168.0,0.4871489522213824,7,168.0
110.0,9,140.0,4.827586206896552,4.457153704447517,9,165.0,0.10676437355603319,9,165.0
115.0,13,153.0,6.375,3.970699787448767,13,184.0,0.053243369986644105,13,184.0
120.0,13,218.0,10.380952380952381,4.902536541095436,13,243.0,0.0,13,243.0
125.0,13,283.0,8.84375,7.8385328586736485,13,308.0,0.4615816617123454,13,308.0
130.0,11,306.0,12.24,4.468525908146047,11,331.0,0.3447530412968608,11,331.0
135.0,17,377.0,15.08,1.8521202746935215,17,402.0,0.014662195224519189,17,402.0
140.0,21,478.0,19.12,2.2496426354643693,21,503.0,1.210739637540425e-05,21,503.0
145.0,19,563.0,19.413793103448278,4.201004237252957,19,588.0,0.24,19,588.0
150.0,17,632.0,19.151515151515152,6.208987597718553,17,657.0,0.38527726668497486,17,657.0
155.0,18,719.0,21.78787878787879,4.1985933899851,18,744.0,0.15739551852563366,18,744.0
160.0,23,729.0,23.516129032258064,1.796956192547623,23,729.0,0.00139725217722444,23,729.0
165.0,15,490.0,17.5,2.876396017595361,15,679.0,0.05540180089624107,15,679.0
170.0,13,539.0,13.820512820512821,7.786345302836273,13,574.0,0.44939530163579317,13,574.0
175.0,13,409.0,11.36111111111111,7.150584099019405,13,444.0,0.42897958128337543,13,444.0
180.0,8,107.0,3.34375,4.26413850818032,8,295.0,0.17649365541035641,8,295.0
185.0,18,177.0,6.103448275862069,4.483538259954546,18,213.0,0.0305330048130114,18,213.0
190.0,17,208.0,7.428571428571429,3.8991708725951613,17,244.0,0.00011469949950344645,17,244.0
195.0,13,244.0,7.176470588235294,6.708899455569293,13,295.0,0.4195675998732586,13,295.0
200.0,13,309.0,9.96774193548387,7.305832118589637,13,345.0,0.43254654613846627,13,345.0
205.0,14,361.0,12.448275862068966,3.1795257949378106,14,396.0,0.12317974289486369,14,396.0
210.0,21,457.0,17.576923076923077,1.7243553290180016,21,492.0,0.0010200621901673295,21,492.0
215.0,22,567.0,22.68,1.4606725002214491,22,602.0,6.133769821830523e-07,22,602.0
220.0,20,554.0,15.82857142857143,4.761406775191267,20,589.0,0.33263428936342077,20,589.0
225.0,16,529.0,15.558823529411764,4.843998607639579,16,594.0,0.2956057700084804,16,594.0
230.0,21,623.0,18.323529411764707,3.2696673754817827,21,658.0,0.014826310510262158,21,658.0
235.0,24,693.0,21.0,2.805332078487522,24,728.0,3.005625568845406e-05,24,728.0
240.0,18,711.0,25.392857142857142,3.1157829179856074,18,771.0,0.0690779319156196,18,771.0
245.0,18,801.0,21.07894736842105,6.716949482827457,18,836.0,0.35974983030154223,18,836.0
250.0,17,739.0,20.52777777777778,4.821816280509722,17,755.0,0.23713314656979984,17,755.0
255.0,15,185.0,6.166666666666667,2.43903409566765,15,592.0,0.06938126163206111,15,592.0
260.0,10,103.0,3.433333333333333,5.697053460167194,10,340.0,0.14334447039822926,10,340.0
265.0,11,137.0,3.914285714285714,6.806187742034162,11,374.0,0.4144091071331953,11,374.0
270.0,14,181.0,5.323529411764706,6.264441002206271,14,418.0,0.38914501968172044,14,418.0
275.0,17,260.0,8.125,4.5107265496471705,17,497.0,0.2401679399831828,17,497.0
280.0,21,311.0,10.724137931034482,1.0534274295326822,21,548.0,0.003899674707972379,21,548.0
285.0,23,422.0,15.071428571428571,1.9975520854773932,23,659.0,2.10024664568111e-06,23,659.0
290.0,23,537.0,13.76923076923077,4.676910772940266,23,774.0,0.29046272330920053,23,774.0
295.0,23,652.0,17.62162162162162,4.337446065501925,23,889.0,0.30356463298459974,23,889.0
300.0,24,732.0,20.914285714285715,1.3640128322483203,24,969.0,0.10073599548478981,24,969.0
305.0,28,846.0,24.17142857142857,1.7735631187703909,28,1083.0,0.029227735642344876,28,1083.0
310.0,28,986.0,28.17142857142857,2.4405845989588126,28,1223.0,0.0,28,1223.0
315.0,26,956.0,21.244444444444444,4.716704220480443,26,1193.0,0.2704507422053069,26,1193.0
320.0,20,824.0,20.6,4.340876116173698,20,1137.0,0.261493617565828,20,1137.0
325.0,24,934.0,23.35,3.6836109326926114,24,1171.0,0.06229735328852733,24,1171.0
330.0,28,1019.0,26.81578947368421,2.6416248385620476,28,1256.0,9.048732731375564e-05,28,1256.0
335.0,26,1141.0,33.55882352941177,2.619856226469323,26,1378.0,0.0,26,1378.0
340.0,26,1271.0,30.261904761904763,4.840270247310663,26,1508.0,0.28951065149605837,26,1508.0
345.0,27,1402.0,34.19512195121951,3.3044453543325982,27,1639.0,0.18647539976625405,27,1639.0
350.0,32,1554.0,40.89473684210526,0.802026349603445,32,1791.0,0.0046168356497514225,32,1791.0
355.0,34,1675.0,44.078947368421055,0.8331571228735881,34,1912.0,1.3229197298515385e-06,34,1912.0
360.0,28,1735.0,48.19444444444444,1.6951989285586881,28,1995.0,0.031147167248188005,28,1995.0
365.0,28,1875.0,39.0625,4.783776914511667,28,2112.0,0.2129508384595978,28,2112.0
370.0,30,1812.0,40.266666666666666,3.5662262023133184,30,1952.0,0.16615866288514208,30,1952.0
375.0,26,913.0,22.26829268292683,1.9417095763015766,26,1814.0,0.05687841843168072,26,1814.0
380.0,19,351.0,8.775,4.048452783006184,19,1220.0,0.09754172781301926,19,1220.0
385.0,9,89.0,1.934782608695652,5.836290597460876,9,1223.0,0.33880430014845375,9,1223.0
390.0,13,116.0,2.6363636363636362,4.9751962100865965,13,1250.0,0.3049270260478205,13,1250.0
395.0,19,198.0,4.714285714285714,3.8030901856772825,19,1332.0,0.21962160725321142,19,1332.0
400.0,30,322.0,7.853658536585366,1.5799747072053154,30,1456.0,0.0039741618899397126,30,1456.0
405.0,36,496.0,13.052631578947368,0.6525394920702282,36,1630.0,0.00011129910517190383,36,1630.0
410.0,36,676.0,14.083333333333334,3.1289021363493803,36,1810.0,0.22654831900449904,36,1810.0
415.0,34,774.0,16.125,2.330160912510691,34,1908.0,0.1696923476939036,34,1908.0
420.0,38,919.0,19.145833333333332,1.5097733802689748,38,2053.0,0.0635166264870316,38,2053.0
425.0,41,1122.0,23.375,1.4886361491090305,41,2256.0,0.0008509424412384549,41,2256.0
430.0,40,1318.0,28.652173913043477,1.0843387854829982,40,2452.0,0.0,40,2452.0
435.0,40,1518.0,27.6,3.059232330281937,40,2652.0,0.1876623991600597,40,2652.0
440.0,41,1720.0,31.85185185185185,2.0926058995349157,41,2854.0,0.12137156023227669,41,2854.0
445.0,45,1822.0,34.37735849056604,0.5232691002746508,45,2758.0,0.021333245946965843,45,2758.0
450.0,40,1462.0,28.115384615384617,1.3072610516375045,40,2523.0,0.029751568331126136,40,2523.0
455.0,30,1090.0,20.96153846153846,3.154221343762548,30,2063.0,0.07022336954382176,30,2063.0
460.0,22,884.0,14.258064516129032,4.387283223378957,22,2168.0,0.23754495108425228,22,2168.0
465.0,25,963.0,16.894736842105264,2.988996865445956,25,2288.0,0.16413249344032244,25,2288.0
470.0,36,1123.0,20.796296296296298,1.5355862735505394,36,2448.0,0.04856343380985065,36,2448.0
475.0,40,1271.0,24.442307692307693,0.6064600443983039,40,2596.0,0.005138934532753977,40,2596.0
480.0,46,1472.0,28.862745098039216,1.0376918430396616,46,2798.0,0.00035855845204972066,46,2798.0
485.0,46,1702.0,27.451612903225808,2.665414458983303,46,3028.0,0.14884584025091985,46,3028.0
490.0,52,1945.0,31.885245901639344,1.4770281498610502,52,3271.0,0.04914743279025645,52,3271.0
495.0,54,1975.0,34.05172413793103,0.34465124833255384,54,3301.0,0.0002041088159610007,54,3301.0
500.0,45,1272.0,22.31578947368421,1.1416156581394412,45,3308.0,0.0349714691478168,45,3308.0
505.0,35,1062.0,16.338461538461537,4.213964280632792,35,2951.0,0.19375522141651425,35,2951.0
510.0,35,1102.0,16.44776119402985,3.585015327977307,35,2797.0,0.16371220515990276,35,2797.0
515.0,33,793.0,12.790322580645162,2.7762644688917932,33,2545.0,0.10865187934764978,33,2545.0
520.0,34,520.0,8.813559322033898,2.964859430134941,34,2106.0,0.07187611958253745,34,2106.0
525.0,29,367.0,6.43859649122807,4.421676788711225,29,1700.0,0.1135598903273773,29,1700.0
