step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
5.0,0,0.0,0.0,12.83407538641566,0,0.0,0.9122192715722908,0,0.0,False,,
10.0,0,0.0,0.0,12.272226215965667,0,0.0,0.8803597518924534,0,0.0,False,,
15.0,2,6.0,0.5,4.963887193292996,2,6.0,0.0786556838282896,2,6.0,False,,
20.0,6,26.0,2.1666666666666665,4.761671588266935,6,26.0,0.0,6,26.0,False,,
25.0,4,36.0,2.25,9.023426302409252,4,36.0,0.6666666666666666,4,36.0,False,,
30.0,4,56.0,2.8,10.260982093367296,4,56.0,0.6667934292701555,4,56.0,False,,
35.0,2,40.0,2.2222222222222223,8.279258374192215,2,40.0,0.6214702536756765,2,40.0,False,,
40.0,9,66.0,4.125,2.024135025984831,9,66.0,0.007093158297568656,9,66.0,False,,
45.0,12,121.0,7.5625,2.8537853270961375,12,121.0,2.2992468271497095e-05,12,121.0,False,,
50.0,12,181.0,6.464285714285714,6.47216977209758,12,181.0,0.422524117087178,12,181.0,False,,
55.0,10,207.0,8.625,6.304487010839338,10,207.0,0.49672847304742196,10,207.0,False,,
60.0,9,218.0,9.083333333333334,4.804068191438017,9,218.0,0.3045367895110832,9,218.0,False,,
65.0,15,280.0,11.666666666666666,4.30093320439597,15,280.0,0.0012067305267861655,15,280.0,False,,
70.0,16,360.0,15.652173913043478,4.031690433922913,16,360.0,1.6004204201030715e-06,16,360.0,False,,
75.0,16,440.0,15.714285714285714,5.105372337255628,16,440.0,0.37989864217057306,16,440.0,False,,
80.0,14,483.0,17.25,5.392580075371346,14,483.0,0.42089095331998433,14,483.0,False,,
85.0,18,558.0,19.928571428571427,2.4944854867812665,18,558.0,0.11152299382041894,18,558.0,False,,
90.0,24,669.0,23.892857142857142,1.7371418774592986,24,669.0,0.00029451229707062084,24,669.0,False,,
95.0,22,629.0,24.192307692307693,0.9971276621845172,22,629.0,0.0,22,629.0,False,,
100.0,16,505.0,13.64864864864865,5.913867119843861,16,598.0,0.3961906387526223,16,598.0,False,,
105.0,16,585.0,16.25,6.009020500672732,16,585.0,0.3087109110687085,16,585.0,False,,
110.0,22,541.0,15.457142857142857,2.6410932942212217,22,541.0,0.01557635107226486,22,541.0,False,,
115.0,16,187.0,6.233333333333333,3.167267327460076,16,501.0,0.08807446304369455,16,501.0,False,,
