step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
250.0,6,114.0,4.384615384615385,6.6197019844214875,6,164.0,0.4117961499981977,6,164.0
255.0,12,159.0,6.115384615384615,5.544706175342858,12,159.0,0.07822765625956947,12,159.0
260.0,14,172.0,7.478260869565218,4.246135178673015,14,172.0,0.0005519479444738402,14,172.0
265.0,12,216.0,8.307692307692308,6.553735403468441,12,216.0,0.4,12,216.0
270.0,12,276.0,9.857142857142858,7.368971523013934,12,276.0,0.47364763103874613,12,276.0
275.0,11,248.0,9.538461538461538,4.493601707400469,11,248.0,0.3228429632227506,11,248.0
280.0,10,101.0,4.208333333333333,2.772563099555797,10,207.0,0.1012562999426764,10,207.0
285.0,12,161.0,6.708333333333333,5.995444483152894,12,168.0,0.11707040842420303,12,168.0
290.0,10,151.0,4.575757575757576,7.269718321918514,10,155.0,0.4325558202529674,10,155.0
295.0,10,178.0,6.357142857142857,7.5955811379566045,10,182.0,0.4942185549166851,10,182.0
300.0,11,229.0,8.807692307692308,5.154508794538955,11,233.0,0.25557541119066235,11,233.0
305.0,17,215.0,8.958333333333334,2.158050101005876,17,219.0,0.0012424750776562539,17,219.0
310.0,10,144.0,6.545454545454546,3.867455005224942,10,226.0,0.09618221699574905,10,226.0
315.0,10,194.0,6.0625,8.573313587068156,10,198.0,0.48265537748384585,10,198.0
320.0,8,163.0,5.433333333333334,8.83695394883183,8,167.0,0.566590638090599,8,167.0
325.0,7,158.0,6.32,4.238364798762242,7,162.0,0.1422683955288987,7,162.0
330.0,16,226.0,10.272727272727273,2.9525783381627986,16,230.0,0.00013704428542024073,16,230.0
335.0,14,217.0,9.863636363636363,2.970895129783638,14,217.0,6.251706912819784e-07,14,217.0
340.0,6,82.0,2.8275862068965516,7.970108581527202,6,162.0,0.5402213030586307,6,162.0
345.0,6,112.0,4.0,9.612901370029515,6,112.0,0.5867419295447714,6,112.0
350.0,9,101.0,3.740740740740741,4.832153968774644,9,101.0,0.05522340469785707,9,101.0
355.0,14,161.0,7.666666666666667,3.787335985810374,14,161.0,1.0809668687951013e-05,14,161.0
360.0,14,231.0,12.833333333333334,3.1844138219500375,14,231.0,0.0,14,231.0
365.0,12,223.0,8.25925925925926,6.314559172144202,12,223.0,0.46239668399308376,12,223.0
370.0,6,117.0,4.5,6.924452613778597,6,167.0,0.46112547010968374,6,167.0
375.0,10,153.0,5.884615384615385,5.828502481722085,10,153.0,0.09712284987333519,10,153.0
380.0,14,164.0,7.130434782608695,4.313130519722168,14,164.0,0.00037799558516788914,14,164.0
385.0,12,213.0,8.52,6.567971020431172,12,213.0,0.4,12,213.0
390.0,12,273.0,9.75,7.314943399172712,12,273.0,0.45353974099723154,12,273.0
395.0,10,243.0,9.346153846153847,4.5414539338494455,10,243.0,0.295030139996203,10,243.0
400.0,11,111.0,4.625,2.656495437046076,11,204.0,0.08563851489437137,11,204.0
405.0,12,171.0,7.125,5.815084937482108,12,174.0,0.08153063946053853,12,174.0
410.0,12,162.0,4.909090909090909,7.750171921232149,12,165.0,0.46756563856219385,12,165.0
415.0,10,186.0,6.642857142857143,8.133691891292901,10,189.0,0.5058066827449589,10,189.0
420.0,11,237.0,9.115384615384615,3.8069029798964023,11,240.0,0.11388739063629842,11,240.0
425.0,19,237.0,9.875,1.806960458640857,19,240.0,6.430520370049048e-05,19,240.0
430.0,11,168.0,7.636363636363637,3.3482364383934025,11,252.0,0.08872589390416852,11,252.0
435.0,11,223.0,6.757575757575758,8.579943220014705,11,226.0,0.47673782765365696,11,226.0
440.0,9,195.0,6.290322580645161,8.837795494312767,9,198.0,0.5385902599861903,9,198.0
445.0,11,195.0,7.8,4.139592536400693,11,198.0,0.11639592347102351,11,198.0
450.0,17,270.0,11.73913043478261,3.3235764870511058,17,273.0,0.0001151407834449919,17,273.0
455.0,15,262.0,12.476190476190476,2.6925994165870004,15,262.0,7.820815734047918e-07,15,262.0
460.0,7,124.0,4.275862068965517,7.580535607531116,7,172.0,0.5176706535001728,7,172.0
465.0,7,159.0,5.482758620689655,9.454705653803062,7,159.0,0.565334833117547,7,159.0
470.0,9,128.0,4.923076923076923,4.305784813556097,9,128.0,0.06583823395966609,9,128.0
475.0,14,161.0,8.05,2.871826863788244,14,165.0,0.02569939425410415,14,165.0
480.0,14,231.0,12.157894736842104,3.4535848705038243,14,231.0,5.538622852186056e-07,14,231.0
485.0,12,219.0,7.3,6.563813451773975,12,219.0,0.4419733298159129,12,219.0
490.0,6,113.0,4.346153846153846,6.870151312713907,6,163.0,0.4597059651438025,6,163.0
495.0,11,151.0,5.8076923076923075,5.830365273484324,11,151.0,0.10236810006277448,11,151.0
500.0,14,162.0,7.043478260869565,4.078220474615706,14,162.0,0.0001298820312357188,14,162.0
505.0,12,209.0,8.038461538461538,6.872573001796373,12,209.0,0.4,12,209.0
510.0,12,269.0,9.607142857142858,7.376333068033236,12,269.0,0.46747847613993304,12,269.0
515.0,11,242.0,9.307692307692308,4.73515547180367,11,242.0,0.3202836171779994,11,242.0
520.0,11,110.0,4.583333333333333,2.8042820434920643,11,206.0,0.09638852944333683,11,206.0
525.0,12,170.0,7.083333333333333,5.6990182132474585,12,173.0,0.07580099243020108,12,173.0
530.0,12,163.0,4.9393939393939394,7.236411952529791,12,166.0,0.4434552555696254,12,166.0
535.0,10,188.0,6.482758620689655,7.83338033467955,10,191.0,0.494662999809882,10,191.0
540.0,11,239.0,9.192307692307692,4.57821409677885,11,242.0,0.16749576650574896,11,242.0
545.0,18,227.0,8.73076923076923,2.984471178795045,18,230.0,0.00040946248509548416,18,230.0
550.0,10,154.0,7.0,4.368379095286867,10,211.0,0.09043544965487582,10,211.0
555.0,10,204.0,6.375,8.534104852644516,10,207.0,0.48768370581869486,10,207.0
560.0,8,169.0,5.827586206896552,8.646970897140509,8,172.0,0.5626864444452712,8,172.0
565.0,6,165.0,6.875,4.3941561953708,6,168.0,0.1673824624979202,6,168.0
570.0,16,233.0,10.590909090909092,3.1571457893090913,16,236.0,8.284961155955136e-05,16,236.0
575.0,14,220.0,11.0,2.4284689007418003,14,220.0,0.0,14,220.0
580.0,6,84.0,3.0,7.926197160236,6,194.0,0.5325867283379423,6,194.0
585.0,6,114.0,4.071428571428571,9.88452109724735,6,114.0,0.5990833509725902,6,114.0
590.0,8,100.0,4.0,3.8772336861006536,8,100.0,0.02376817481680221,8,100.0
595.0,14,164.0,7.454545454545454,3.985462864073638,14,164.0,4.241500595503124e-05,14,164.0
600.0,14,234.0,13.0,2.899757365776365,14,234.0,0.0,14,234.0
605.0,12,224.0,8.0,6.600357933527145,12,224.0,0.463958199920782,12,224.0
610.0,6,118.0,4.538461538461538,6.512538225949545,6,167.0,0.42253340218548496,6,167.0
615.0,13,161.0,6.1923076923076925,5.639099114393068,13,161.0,0.06933859404879393,13,161.0
620.0,14,173.0,7.521739130434782,4.330298175988375,14,173.0,0.0003475758354392405,14,173.0
625.0,12,219.0,8.423076923076923,6.958433038953061,12,219.0,0.4,12,219.0
630.0,12,279.0,9.964285714285714,7.277135608840927,12,279.0,0.47194007313879927,12,279.0
635.0,10,247.0,9.5,4.426122043664171,10,247.0,0.29794968616811335,10,247.0
640.0,10,108.0,4.5,3.0397447382760174,10,159.0,0.061772393056722524,10,159.0
645.0,12,167.0,6.958333333333333,6.132170695924749,12,169.0,0.1057794519200029,12,169.0
650.0,12,158.0,4.9375,7.0316040053846764,12,160.0,0.42018173592393065,12,160.0
655.0,10,182.0,6.5,7.774044305126714,10,184.0,0.4936524262283349,10,184.0
660.0,10,232.0,8.923076923076923,4.904461580803738,10,234.0,0.1847817131040998,10,234.0
