step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
185.0,14,329.0,10.28125,3.895852442038242,14,400.0,0.05342854348368262,14,400.0,False,,
190.0,20,411.0,16.44,2.1219914112943017,20,482.0,0.0004220863074281036,20,482.0,False,,
195.0,20,511.0,14.194444444444445,5.505879365768807,20,582.0,0.3351728883417149,20,582.0,False,,
200.0,18,435.0,12.428571428571429,5.30463999674534,18,506.0,0.359578677304256,18,506.0,False,,
205.0,16,243.0,7.59375,2.2699659533278167,16,403.0,0.06680776152213606,16,403.0,False,,
210.0,22,349.0,10.90625,3.4683118729240716,22,420.0,1.2321100803790176e-06,22,420.0,False,,
215.0,20,391.0,12.612903225806452,3.185654397098982,20,462.0,0.0,20,462.0,False,,
220.0,14,360.0,9.473684210526315,6.96280976935939,14,477.0,0.4160109304941152,14,477.0,False,,
225.0,14,430.0,12.285714285714286,6.763046133560363,14,501.0,0.3265852621591776,14,501.0,False,,
230.0,20,515.0,16.09375,3.6456245482297507,20,586.0,0.011502054402207166,20,586.0,False,,
235.0,23,627.0,25.08,0.9282624094501587,23,698.0,3.5296561369531036e-05,23,698.0,False,,
240.0,23,742.0,29.68,0.916123290009196,23,813.0,0.0,23,813.0,False,,
245.0,23,857.0,24.485714285714284,4.116937187658105,23,928.0,0.3119268788055749,23,928.0,False,,
250.0,22,841.0,24.02857142857143,2.89834741234264,22,875.0,0.2217899915654508,22,875.0,False,,
255.0,20,361.0,10.314285714285715,2.1013346784570155,20,748.0,0.05118703899976506,20,748.0,False,,
260.0,15,307.0,8.771428571428572,4.755907652795708,15,545.0,0.10452406766831737,15,545.0,False,,
265.0,15,364.0,9.333333333333334,5.945428646326625,15,602.0,0.34183792049155043,15,602.0,False,,
270.0,21,457.0,11.717948717948717,5.281252939259654,21,695.0,0.31921979902987424,21,695.0,False,,
275.0,25,574.0,15.513513513513514,2.234198338170863,25,812.0,0.12382631684298577,25,812.0,False,,
280.0,31,577.0,16.485714285714284,0.5295790591272632,31,815.0,0.00276382411672884,31,815.0,False,,
285.0,26,543.0,15.514285714285714,2.184231985639876,26,822.0,0.035381524285565076,26,822.0,False,,
290.0,26,673.0,14.630434782608695,5.469502230628529,26,911.0,0.2939339347535032,26,911.0,False,,
295.0,26,803.0,18.25,4.811952190768246,26,1041.0,0.27139116189021784,26,1041.0,False,,
300.0,29,867.0,21.675,1.6798937494087833,29,1008.0,0.08215589517812429,29,1008.0,False,,
305.0,26,676.0,17.789473684210527,1.7445382922336208,26,1016.0,0.05004800472482135,26,1016.0,False,,
310.0,20,693.0,18.236842105263158,4.5559909633844,20,840.0,0.10614924831635032,20,840.0,False,,
315.0,20,793.0,17.23913043478261,6.919782333903264,20,825.0,0.38481462797890104,20,825.0,False,,
320.0,20,861.0,20.023255813953487,5.72778625618822,20,876.0,0.30121064318362184,20,876.0,False,,
325.0,25,972.0,26.27027027027027,2.7581646205442167,25,987.0,0.04312692209154266,25,987.0,False,,
330.0,30,1114.0,32.76470588235294,1.4030132055073992,30,1129.0,0.0002616819136407924,30,1129.0,False,,
335.0,30,1264.0,38.303030303030305,1.1156080854138002,30,1279.0,3.6313874441713287e-07,30,1279.0,False,,
340.0,30,1414.0,33.666666666666664,3.6685500655337004,30,1429.0,0.25406245984654013,30,1429.0,False,,
345.0,29,1335.0,31.785714285714285,2.2149198144411066,29,1350.0,0.15510338531200568,29,1350.0,False,,
350.0,25,654.0,15.571428571428571,1.6503561877992623,25,1280.0,0.04937091790491204,25,1280.0,False,,
355.0,21,486.0,11.571428571428571,4.05231399149537,21,912.0,0.10076827967873854,21,912.0,False,,
360.0,19,483.0,12.075,4.082183896549894,19,913.0,0.11838072784401031,19,913.0,False,,
365.0,17,379.0,8.063829787234043,5.434151383519124,17,929.0,0.3204762458680875,17,929.0,False,,
370.0,22,475.0,10.795454545454545,4.905745368409838,22,906.0,0.20445233343380112,22,906.0,False,,
375.0,28,440.0,10.476190476190476,2.8711258124032533,28,871.0,0.019162212927193313,28,871.0,False,,
380.0,25,329.0,9.13888888888889,2.372789309520889,25,877.0,0.049569137451466384,25,877.0,False,,
385.0,25,454.0,10.80952380952381,5.02392785066818,25,885.0,0.24242424242424243,25,885.0,False,,
390.0,23,501.0,10.891304347826088,5.317631237109902,23,932.0,0.302658053744781,23,932.0,False,,
395.0,24,577.0,14.425,4.045313326610124,24,1008.0,0.184874768664301,24,1008.0,False,,
400.0,29,711.0,19.216216216216218,2.155335249745258,29,1142.0,0.001978499340228051,29,1142.0,False,,
405.0,29,773.0,22.085714285714285,1.681748740762611,29,1082.0,1.5546774602883144e-06,29,1082.0,False,,
410.0,19,461.0,10.720930232558139,5.170523067065214,19,840.0,0.3347127785652565,19,840.0,False,,
415.0,10,255.0,5.930232558139535,6.853962254690965,10,641.0,0.37120041879164506,10,641.0,False,,
420.0,11,220.0,5.5,4.5909629651997195,11,606.0,0.22208685945623421,11,606.0,False,,
425.0,13,96.0,2.823529411764706,2.647263089632231,13,587.0,0.09940195967497714,13,587.0,False,,
430.0,20,183.0,5.545454545454546,4.278275633828182,20,576.0,0.056888746109952586,20,576.0,False,,
435.0,21,268.0,6.232558139534884,5.773566953142403,21,661.0,0.3171707519017621,21,661.0,False,,
440.0,21,373.0,10.08108108108108,4.60185064407985,21,766.0,0.274090742705287,21,766.0,False,,
445.0,26,487.0,13.914285714285715,1.9191930192350428,26,880.0,0.04728899671005792,26,880.0,False,,
450.0,29,527.0,15.057142857142857,1.5346314170845012,29,920.0,0.00015762858822188588,29,920.0,False,,
455.0,25,584.0,18.25,2.1550131940855963,25,977.0,0.0,25,977.0,False,,
460.0,25,709.0,16.488372093023255,5.376617496936557,25,1102.0,0.30150690012284936,25,1102.0,False,,
465.0,25,834.0,20.341463414634145,3.595109071972242,25,1227.0,0.18844626170860343,25,1227.0,False,,
470.0,32,980.0,26.486486486486488,0.6942830761897114,32,1373.0,0.0027655267790139076,32,1373.0,False,,
475.0,35,1153.0,31.16216216216216,0.692929834519778,35,1546.0,2.1279955394013935e-06,35,1546.0,False,,
480.0,33,1206.0,32.5945945945946,0.7941010939420069,33,1497.0,3.5784557290788403e-07,33,1497.0,False,,
485.0,23,761.0,16.19148936170213,4.340638096012647,23,1424.0,0.27774108001252346,23,1424.0,False,,
490.0,17,483.0,10.27659574468085,4.909444503573071,17,1069.0,0.2259519095079798,17,1069.0,False,,
