step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.575939904833456,0,0.0,0.903206515965242,0,0.0
10.0,0,0.0,0.0,12.35271184900178,0,0.0,0.8986494127757684,0,0.0
15.0,7,13.0,1.0833333333333333,4.4313014715115076,7,13.0,0.004383321691373275,7,13.0
20.0,6,38.0,3.1666666666666665,4.44422309808006,6,38.0,1.0788764290019288e-05,6,38.0
25.0,6,68.0,4.0,8.482672074414817,6,68.0,0.5714285714285714,6,68.0
30.0,6,98.0,4.9,9.133015685796874,6,98.0,0.6392640375762255,6,98.0
35.0,6,128.0,7.111111111111111,6.51977063499371,6,128.0,0.4340602759315024,6,128.0
40.0,14,174.0,9.666666666666666,3.1646595004424154,14,174.0,0.0006250420785895771,14,174.0
45.0,14,244.0,13.555555555555555,3.0081075046120427,14,244.0,5.018621002195766e-07,14,244.0
50.0,12,241.0,8.925925925925926,6.328820115399942,12,241.0,0.45332181982439,12,241.0
55.0,10,267.0,10.26923076923077,7.65576636080406,10,267.0,0.5024299107938531,10,267.0
60.0,10,317.0,12.192307692307692,4.374196624428966,10,317.0,0.13940844970568023,10,317.0
65.0,19,396.0,15.84,2.4016996063752827,19,396.0,0.0010661560497423584,19,396.0
70.0,18,480.0,22.857142857142858,0.7962206482102719,18,480.0,2.3853525265283076e-06,18,480.0
75.0,16,549.0,17.15625,5.760851113055184,16,549.0,0.3670150073924346,16,549.0
80.0,16,629.0,19.65625,6.085269572390089,16,629.0,0.364839743095661,16,629.0
85.0,19,577.0,19.233333333333334,1.6021426281631477,19,577.0,0.05813591520039453,19,577.0
90.0,16,222.0,7.928571428571429,2.4495904964029203,16,524.0,0.07942264874344733,16,524.0
95.0,12,250.0,8.928571428571429,5.9843111968725795,12,336.0,0.16525147238601548,12,336.0
100.0,12,310.0,8.157894736842104,8.751200299554682,12,310.0,0.4396065239630163,12,310.0
105.0,10,330.0,10.3125,7.894199241712302,10,330.0,0.4753127716418664,10,330.0
110.0,14,385.0,14.807692307692308,3.2509698091214116,14,385.0,0.04733216954238204,14,385.0
115.0,20,480.0,20.0,2.185837286567033,20,480.0,0.00010030177916423152,20,480.0
120.0,18,513.0,23.318181818181817,1.2135941118745353,18,513.0,0.0,18,513.0
125.0,12,472.0,14.75,6.05176093017175,12,517.0,0.4184760291133824,12,517.0
130.0,12,532.0,16.625,7.455493601044053,12,532.0,0.43095937370275567,12,532.0
135.0,19,555.0,19.821428571428573,2.569992304910741,19,555.0,0.06273297049097298,19,555.0
140.0,16,575.0,23.0,2.9589589982638587,16,587.0,0.07442603584116411,16,587.0
145.0,16,655.0,20.46875,6.662336337173932,16,655.0,0.3333340221934093,16,655.0
150.0,14,705.0,20.142857142857142,6.877285400131258,14,705.0,0.4140531521410804,14,705.0
