step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
695.0,32,740.0,17.209302325581394,2.2696176444863796,32,2005.0,0.03843948134587599,32,2005.0
700.0,32,900.0,17.307692307692307,4.2065442883453805,32,2091.0,0.2071334793123716,32,2091.0
705.0,34,1031.0,20.215686274509803,3.5603617621865515,34,2222.0,0.1711124447946172,34,2222.0
710.0,32,1161.0,25.23913043478261,2.274748687121439,32,2352.0,0.047898009691424805,32,2352.0
715.0,36,1339.0,30.431818181818183,2.2185008581573444,36,2530.0,3.7897086845808847e-06,36,2530.0
720.0,34,1501.0,34.906976744186046,2.049905278463214,34,2692.0,0.0,34,2692.0
725.0,34,1671.0,34.8125,2.7770275368761417,34,2862.0,0.16995939839886237,34,2862.0
730.0,38,1859.0,38.729166666666664,2.435658545068774,38,3050.0,0.14618869819950878,38,3050.0
735.0,40,1903.0,40.48936170212766,0.6435172132472354,40,2892.0,0.0012303008305789473,40,2892.0
740.0,33,1359.0,29.543478260869566,1.7141705529418123,33,2729.0,0.04323866157735228,33,2729.0
745.0,24,858.0,16.18867924528302,4.573962006244553,24,2126.0,0.20732169715181836,24,2126.0
750.0,18,403.0,7.75,4.923797809533159,18,2020.0,0.27434607939250966,18,2020.0
755.0,11,129.0,2.6875,4.432573230332713,11,2056.0,0.2349167626173473,11,2056.0
760.0,23,219.0,4.659574468085107,2.7329732058070944,23,2146.0,0.08551297072536254,23,2146.0
765.0,28,323.0,7.177777777777778,1.5653924814064915,28,2250.0,0.027947337636520873,28,2250.0
770.0,34,473.0,8.924528301886792,3.272576522130777,34,2400.0,0.20140532857821838,34,2400.0
775.0,40,661.0,12.471698113207546,2.6405746179076455,40,2588.0,0.14928044759774753,40,2588.0
780.0,40,776.0,15.215686274509803,0.8473341966256948,40,2703.0,0.041176982446784256,40,2703.0
785.0,38,781.0,15.62,1.276015099484521,38,2812.0,0.03381430011335288,38,2812.0
790.0,38,971.0,19.42,2.856645874222419,38,2901.0,0.025718784620843656,38,2901.0
795.0,37,1071.0,18.152542372881356,3.585861752759685,37,2743.0,0.15222892774226843,37,2743.0
800.0,32,816.0,14.836363636363636,3.844327112472043,32,2456.0,0.18976957819383547,32,2456.0
805.0,25,631.0,12.134615384615385,3.6661471751425343,25,1930.0,0.10658472757018603,25,1930.0
810.0,23,407.0,8.14,4.961252747537056,23,1468.0,0.13858182175145364,23,1468.0
815.0,14,246.0,5.72093023255814,6.086955715126887,14,1060.0,0.258054356174778,14,1060.0
820.0,13,266.0,5.32,7.205023233422675,13,904.0,0.4289833795270785,13,904.0
825.0,15,276.0,6.0,6.2651926868465875,15,914.0,0.3600973499529357,15,914.0
830.0,23,373.0,8.880952380952381,3.4780814751550175,23,1011.0,0.052794403649514064,23,1011.0
835.0,32,513.0,13.153846153846153,2.418416843858386,32,1151.0,0.00041978292823589223,32,1151.0
840.0,32,673.0,19.794117647058822,0.7991240301973567,32,1311.0,1.3468804182917226e-05,32,1311.0
845.0,30,782.0,17.772727272727273,3.3846495411131925,30,1288.0,0.259451834706041,30,1288.0
